ticker,score_type,holding,n,rho,p,spread,verdict,class,class_mean_rho,n_bars,start,end,top_ret,top_dd,top_n,bottom_ret,bottom_dd,bottom_n
ACN,TS,5,6229,-0.0202,0.111308,-0.2056,neutral,neutral,-0.0345,6274,2001-07-20,2026-07-02,0.1659,-2.2152,2640.0,0.3715,-3.7879,1265.0
ACN,TS,10,6224,-0.0254,0.045372,-0.2899,neutral,neutral,-0.0345,6274,2001-07-20,2026-07-02,0.3513,-3.1832,2640.0,0.6412,-5.3463,1260.0
ACN,TS,15,6219,-0.0397,0.001737,-0.7387,invers,neutral,-0.0345,6274,2001-07-20,2026-07-02,0.4724,-3.9771,2640.0,1.2111,-6.2786,1255.0
ACN,TS,20,6214,-0.0526,3.3e-05,-1.1858,invers,neutral,-0.0345,6274,2001-07-20,2026-07-02,0.5578,-4.6796,2640.0,1.7436,-6.8796,1250.0
ACN,GESAMT,1,5659,0.0087,0.514937,0.0635,neutral,neutral,-0.0345,6274,2001-07-20,2026-07-02,0.0646,-0.8364,1256.0,0.0011,-1.2387,1373.0
ACN,GESAMT,5,5655,-0.0271,0.041591,-0.2407,neutral,neutral,-0.0345,6274,2001-07-20,2026-07-02,0.0608,-2.1101,1256.0,0.3015,-3.0017,1373.0
ACN,GESAMT,10,5650,-0.0239,0.072138,-0.3572,neutral,neutral,-0.0345,6274,2001-07-20,2026-07-02,0.2583,-3.0893,1256.0,0.6155,-4.2256,1370.0
ACN,GESAMT,15,5645,-0.0414,0.001848,-0.7859,invers,neutral,-0.0345,6274,2001-07-20,2026-07-02,0.3795,-3.7853,1256.0,1.1654,-4.9763,1367.0
ACN,GESAMT,20,5640,-0.0457,0.000596,-1.0177,invers,neutral,-0.0345,6274,2001-07-20,2026-07-02,0.4421,-4.5625,1256.0,1.4598,-5.4075,1362.0
ADBE,SC,1,9443,0.0085,0.407842,0.0222,neutral,neutral,0.0004,10047,1986-08-14,2026-07-02,0.1287,-1.6707,4460.0,0.1065,-1.75,2597.0
ADBE,SC,5,9439,0.0059,0.563306,0.0786,neutral,neutral,0.0004,10047,1986-08-14,2026-07-02,0.5517,-4.1141,4459.0,0.4731,-4.2074,2596.0
ADBE,SC,10,9434,0.0072,0.481671,0.2326,neutral,neutral,0.0004,10047,1986-08-14,2026-07-02,1.0837,-5.7317,4457.0,0.8511,-6.0312,2595.0
ADBE,SC,15,9429,-0.0008,0.936358,0.0784,neutral,neutral,0.0004,10047,1986-08-14,2026-07-02,1.4854,-6.9694,4453.0,1.407,-7.2853,2594.0
ADBE,SC,20,9424,-0.0109,0.290332,-0.2163,neutral,neutral,0.0004,10047,1986-08-14,2026-07-02,1.8644,-7.9795,4451.0,2.0807,-8.2967,2592.0
ADBE,TS,1,10006,-0.0029,0.774346,-0.0743,neutral,neutral,-0.0289,10047,1986-08-14,2026-07-02,0.0931,-1.4828,4016.0,0.1674,-2.0677,2124.0
ADBE,TS,5,10002,-0.0204,0.04129,-0.3824,neutral,neutral,-0.0289,10047,1986-08-14,2026-07-02,0.4415,-3.5868,4016.0,0.8239,-5.016,2121.0
